Direccion,Latitud,Longitud,acumulado
0,calle 1,11.0138234,-74.8392812,1
1,calle 1 2 15,11.0138234,-74.8392812,1
2,calle 1 3 11,11.0138234,-74.8392812,1
3,calle 1 38 ,11.0138234,-74.8392812,1
4,calle 1 44,11.0138234,-74.8392812,1
5,calle 10 07 09,11.0320299,-74.8618608,1
6,calle 10 13,10.9723576,-74.7734898,1
7,calle 10 13 ,10.9723576,-74.7734898,1
8,calle 10 15 ,10.9723576,-74.7734898,1
9,calle 10 30,10.9600301,-74.7710889,1
10,calle 10 32,10.9809965,-74.77414476186286,1
11,calle 10 44 34,10.9723576,-74.7734898,1
12,calle 10 46,10.9723576,-74.7734898,1
13,calle 10 7,11.0320299,-74.8618608,1
14,calle 10 8,10.9723576,-74.7734898,1
15,calle 10 9,10.9723576,-74.7734898,1
16,calle 100 10,11.0089744,-74.8334847,1
17,calle 100 12,11.0089744,-74.8334847,1
18,calle 100 37,11.0089744,-74.8334847,4
19,calle 100 37 87,11.0089744,-74.8334847,1
20,calle 100 38,11.0089744,-74.8334847,4
21,calle 100 42,11.0089744,-74.8334847,2
22,calle 100 43,11.0089744,-74.8334847,3
23,calle 100 44,11.0089744,-74.8334847,7
24,calle 100 45,11.0082158,-74.8339189,1
25,calle 100 46,11.0089744,-74.8334847,3
26,calle 100 47 14,11.0089744,-74.8334847,1
27,calle 100 48,11.0089744,-74.8334847,2
28,calle 100 49,11.0089744,-74.8334847,1
29,calle 100 50,11.0089744,-74.8334847,4
30,calle 100 51,11.0089744,-74.8334847,3
31,calle 100 51 51,11.0089744,-74.8334847,1
32,calle 100 52,11.0089744,-74.8334847,1
33,calle 100 53,11.0082158,-74.8339189,10
34,calle 100 55,11.0089744,-74.8334847,5
35,calle 100 55 53,11.0089744,-74.8334847,1
36,calle 100 57,10.9647037,-74.832914,2
37,calle 101 49,10.9346527,-74.8321378,1
38,calle 101 50,10.9346527,-74.8321378,1
39,calle 102 37,10.9496538,-74.8325963,2
40,calle 102 43,10.9496538,-74.8325963,1
41,calle 102 43 35,10.9496538,-74.8325963,1
42,calle 102 47,10.9496538,-74.8325963,1
43,calle 102 49,10.9496538,-74.8325963,6
44,calle 103 36,10.9780142,-74.8339299,1
45,calle 103 9,10.9780142,-74.8339299,1
46,calle 104 15,10.9759625,-74.8339699,1
47,calle 104 3,10.934848,-74.8326681,1
48,calle 104 47,10.9759625,-74.8339699,1
49,calle 104 53,11.0171983,-74.8326377,1
50,calle 105 12,10.9755872,-74.8343915,1
51,calle 106 26,11.0118095,-74.8372848,1
52,calle 106 27,11.0118095,-74.8372848,1
53,calle 106 40,11.0118095,-74.8372848,2
54,calle 106 47 ,11.0118095,-74.8372848,1
55,calle 106 49,11.0118095,-74.8372848,1
56,calle 106 49 50,11.0118095,-74.8372848,1
57,calle 106 49 70,11.0118095,-74.8372848,1
58,calle 106 50,11.0135979,-74.83675059962029,6
59,calle 106 52,11.0118095,-74.8372848,6
